Domain,Body
ASSET_MANAGEMENT,Physical Device Inventory Physical devices and systems within the organization are inventoried
ASSET_MANAGEMENT,Software and Application Inventory Software platforms and applications within the organization are inventoried
ASSET_MANAGEMENT,Communication and Data Flows Mapped Organizational communication and data flows are mapped
ASSET_MANAGEMENT,External System Connections Catalogued External information systems are catalogued
ASSET_MANAGEMENT,"Assets (resources) are prioritized Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value"
ASSET_MANAGEMENT,"Asset Lifecycle Formally Managed Assets are formally managed throughout removal, transfers, and disposition"
BUSINESS_CONTINUITY_DISASTER_RECOVERY,"Resilience Requirements of Critical Services Understood Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)"
BUSINESS_CONTINUITY_DISASTER_RECOVERY,"Backup Lifecycle Maintained Backups of information are conducted, maintained, and tested"
BUSINESS_CONTINUITY_DISASTER_RECOVERY,"Resilience Requirements can be Met Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations"
BUSINESS_CONTINUITY_DISASTER_RECOVERY,Recovery Plans are Executed Recovery plan is executed during or after a cybersecurity incident
BUSINESS_CONTINUITY_DISASTER_RECOVERY,Recovery Plans Incorporate Lessons Learned Recovery plans incorporate lessons learned
BUSINESS_CONTINUITY_DISASTER_RECOVERY,Recovery Strategies are Updated Recovery strategies are updated
CAPACITY_PERFORMANCE_PLANNING,Capacity Management Adequate capacity to ensure availability is maintained
CHANGE_MANAGEMENT,Configuration Change Control in Place Configuration change control processes are in place
COMPLIANCE,"Legal and Regulatory Requirements Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed"
COMPLIANCE,Physical Operating Environment Documented Policy and regulations regarding the physical operating environment for organizational assets are met
COMPLIANCE,Data Protection Improvements Protection processes are improved
COMPLIANCE,Detection Processes Improved Continuously Detection processes are continuously improved
CONFIGURATION_MANAGEMENT,Least Functionality Driven System Configurations The principle of least functionality is incorporated by configuring systems to provide only essential capabilities
CONTINUOUS_MONITORING,"Audit Logs Adequate, Implemented and Reviewed Audit/log records are determined, documented, implemented, and reviewed in accordance with policy"
CONTINUOUS_MONITORING,Network Operations and Flows Baseline for Users and Systems A baseline of network operations and expected data flows for users and systems is established and managed
