code,title,trust_service_category,category,description,is_required,weight
WQAA-AP-01,Applicability Determination,WQAA Governance,AP - Applicability and Governance,Determine and document whether the organization is a public community water system with more than 500 service connections and is subject to Water Quality Accountability Act requirements.,TRUE,1.0
WQAA-AP-02,Compliance Responsibility,WQAA Governance,AP - Applicability and Governance,"Assign accountable personnel for WQAA compliance activities, including operational, cybersecurity, asset management, certification, and reporting responsibilities.",TRUE,1.0
WQAA-AP-03,Compliance Calendar,WQAA Governance,AP - Applicability and Governance,"Maintain a compliance calendar covering valve inspections, hydrant testing, cybersecurity updates, annual certification, capital improvement reporting, and required submissions.",TRUE,1.0
WQAA-AP-04,Evidence Repository,WQAA Governance,AP - Applicability and Governance,"Maintain evidence that supports WQAA compliance, including inspection records, testing records, cybersecurity artifacts, asset management plans, certifications, and reports.",TRUE,1.0
WQAA-AP-05,Executive Oversight,WQAA Governance,AP - Applicability and Governance,"Provide executive oversight for WQAA compliance and ensure management reviews significant operational, cybersecurity, asset condition, and reporting risks.",TRUE,1.0
WQAA-VH-01,Valve Inventory,Water Operations,"VH - Valves, Hydrants, and Field Records","Maintain an inventory of valves in the public water system, including valve location, size, accessibility, operational condition, and inspection status.",TRUE,1.0
WQAA-VH-02,Valve Inspection Schedule,Water Operations,"VH - Valves, Hydrants, and Field Records","Inspect valves on the required WQAA schedule, including valves 12 inches or larger at least once every four years and all other covered valves at least once every eight years.",TRUE,1.0
WQAA-VH-03,Valve Access Clearing,Water Operations,"VH - Valves, Hydrants, and Field Records",Clear the area around each inspected valve to ensure full access for operational purposes.,TRUE,1.0
WQAA-VH-04,Valve Box Cleaning,Water Operations,"VH - Valves, Hydrants, and Field Records",Clean out valve boxes during required inspections so valves remain accessible and operable.,TRUE,1.0
WQAA-VH-05,Valve Dynamic Testing,Water Operations,"VH - Valves, Hydrants, and Field Records",Perform dynamic testing of inspected valves by opening and closing the valve using manufacturer guidance or the required percentage of total turns.,TRUE,1.0
WQAA-VH-06,Valve Repair,Water Operations,"VH - Valves, Hydrants, and Field Records","Repair or replace any valve found to be broken, inaccessible, or otherwise not operational.",TRUE,1.0
WQAA-VH-07,Hydrant Inventory,Water Operations,"VH - Valves, Hydrants, and Field Records","Maintain an inventory of fire hydrants in the public water system, including ownership, identifying marks, location, testing status, and maintenance records.",TRUE,1.0
WQAA-VH-08,Annual Hydrant Testing,Water Operations,"VH - Valves, Hydrants, and Field Records",Test every fire hydrant in the system at least annually to determine working condition.,TRUE,1.0
WQAA-VH-09,Hydrant Flushing Plan,Water Operations,"VH - Valves, Hydrants, and Field Records",Maintain and implement a plan for flushing every fire hydrant and every dead end of a main in the public water system.,TRUE,1.0
WQAA-VH-10,Hydrant Ownership Marking,Water Operations,"VH - Valves, Hydrants, and Field Records","Mark each owned or jointly owned hydrant with the purveyor name, abbreviation, corporate symbol, or other durable identifying mark.",TRUE,1.0
WQAA-VH-11,Hydrant Location Marking,Water Operations,"VH - Valves, Hydrants, and Field Records","Mark each hydrant with a number, symbol, or other identifier that allows the hydrant location to be determined from official records.",TRUE,1.0
